datetime,day0_12_12,day0_15_51,day0_8_58,day0_9_19,day1,day2,day3,day4,day5,stock
2017-12-04,17.06,16.21,17.95,15.43,16.22,13.71,,,,xnet
2017-12-04,-1.0,2.0952,2.1,1.89,2.09,2.24,,,,crnt
2017-12-04,-1.0,18.2204,20.6,19.6,18.25,20.0,,,,nvcr
2017-12-04,2.58,2.68,2.59,2.47,2.61,2.1,,,,asna
2017-12-04,21.57,20.67,21.39,20.41,20.665,20.9,,,,uctt
2017-12-04,52.11,51.57,54.0,51.7,51.76,49.96,,,,rare
2017-12-04,119.9809,116.736,119.32,114.31,115.57,116.09,,,,xiv
2017-12-04,13.71,13.1,15.16,14.58,13.37,13.01,,,,zyne
2017-12-04,64.51,63.1976,71.99,69.245,63.31,62.89,,,,cgnx
2017-12-04,42.3734,41.78,45.25,-1.0,41.73,39.45,,,,roku
2017-12-05,35.94,34.675,35.2,26.0,34.75,,,,,rvnc
2017-12-05,17.645,17.729,20.32,16.94,17.74,,,,,coll
2017-12-05,7.72,7.865,8.0,7.15,7.86,,,,,depo
2017-12-05,3.15,3.175,3.5,3.15,3.2,,,,,dhxm
2017-12-05,34.14,34.6625,33.0,30.14,34.3,,,,,giii
2017-12-05,39.64,38.81,39.25,36.49,38.8,,,,,hds
2017-12-05,251.87,250.63,258.0,250.39,250.21,,,,,orly
2017-12-05,2.4,2.45,2.395,2.35,2.45,,,,,cgen
2017-12-05,47.4,47.175,48.005,47.15,47.15,,,,,lite
2017-12-05,45.6866,45.8,46.9,46.1,45.85,,,,,ostk
2017-12-06,55.56,54.08,53.1,43.25,,,,,,avav
2017-12-06,2.25,2.375,2.25,2.025,,,,,,vsar
2017-12-06,11.0,11.29,9.42,8.64,,,,,,vra
2017-12-06,55.745,52.82,56.0,52.89,,,,,,play
2017-12-06,3.41,3.48,3.5,3.33,,,,,,arwr
2017-12-06,4.925,4.95,4.95,4.725,,,,,,glbl
2017-12-06,6.33,6.056,6.89,6.63,,,,,,dcix
2017-12-06,12.84,12.7695,14.2,13.71,,,,,,xnet
2017-12-06,43.25,-1.0,47.15,45.85,,,,,,ostk
2017-12-06,7.65,7.555,7.77,7.57,,,,,,tvix
